ID,Name,Shareholding,Percentage,CumulativePercentage
B01265,OCBC SECURITIES BROKERAGE (HK) LTD,11875,0.00%,83.67%
B01169,PUBLIC FINANCIAL SECURITIES LTD,10000,0.00%,83.67%
B01664,ROOFER SECURITIES LTD,10000,0.00%,83.67%
B01694,MINERVA HOLDING FINANCIAL SECURITIES LTD,10000,0.00%,83.67%
B01696,HANTEC SECURITIES CO LTD,10000,0.00%,83.67%
B01963,TFI SECURITIES AND FUTURES LTD,10000,0.00%,83.67%
B02020,WEALTH LINK SECURITIES LTD,10000,0.00%,83.67%
B02108,WK SECURITIES LTD,10000,0.00%,83.67%
B02195,LONG BRIDGE HK LTD,6000,0.00%,83.68%
C00088,CHINA MERCHANTS BANK CO LTD,6000,0.00%,83.68%
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD,4000,0.00%,83.68%
B01769,ONE CHINA SECURITIES LTD,3799,0.00%,83.68%
B01264,MIB SECURITIES (HONG KONG) LTD,2000,0.00%,83.68%
B01459,IFAST SECURITIES (HK) LTD,2000,0.00%,83.68%
B01588,LEI SHING HONG SECURITIES LTD,2000,0.00%,83.68%
B01294,CS WEALTH SECURITIES LTD,1000,0.00%,83.68%
B01240,TSUN CHI YUEN SECURITIES CO LTD,764,0.00%,83.68%
B02093,UPMAX SECURITIES LTD,455,0.00%,83.68%
B01472,SUN GROWTH SECURITIES LTD,100,0.00%,83.68%
B01901,CMB INTERNATIONAL SECURITIES LTD,4,0.00%,83.68%
