StockCode,StockName
00285,BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED
00286,AIDIGONG MATERNAL & CHILD HEALTH LIMITED
00287,WINFAIR INVESTMENT CO. LTD
00288,WH GROUP LIMITED
00289,WING ON COMPANY INTERNATIONAL LIMITED
00290,GOFINTECH QUANTUM INNOVATION LIMITED
00291,CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED-HKD TRADED SHARES
00293,CATHAY PACIFIC AIRWAYS LTD
00294,YANGTZEKIANG GARMENT LIMITED
00295,KONG SUN HOLDINGS LIMITED
00296,EMPEROR ENTERTAINMENT HOTEL LIMITED
00297,SINOFERT HOLDINGS LIMITED
00298,CHUANG'S CHINA INVESTMENTS LIMITED
00299,GLORY SUN LAND GROUP LIMITED
00300,"MIDEA GROUP CO., LTD."
00301,SANVO FINE CHEMICALS GROUP LIMITED
00302,CMGE TECHNOLOGY GROUP LIMITED
00303,VTECH HOLDINGS LIMITED
00305,WULING MOTORS HOLDINGS LIMITED
00306,KWOON CHUNG BUS HOLDINGS LIMITED
00308,CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED
00309,XINHUA NEWS MEDIA HOLDINGS LIMITED
00310,PROSPERITY INVESTMENT HOLDINGS LIMITED
00311,LUEN THAI HOLDINGS LIMITED
00312,SHIRBLE DEPARTMENT STORE HOLDINGS (CHINA) LIMITED
00313,RICHLY FIELD CHINA DEVELOPMENT LIMITED
00314,"SIPAI HEALTH TECHNOLOGY CO., LTD."
00315,SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED
00316,ORIENT OVERSEAS (INTERNATIONAL) LIMITED
00317,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED
00318,VONGROUP LIMITED
00320,COMPUTIME GROUP LIMITED
00321,TEXWINCA HOLDINGS LIMITED
00322,TINGYI (CAYMAN ISLANDS) HOLDING CORP.
00323,MAANSHAN IRON & STEEL COMPANY LIMITED
00325,BLOKS GROUP LIMITED
00326,CHINA STAR ENTERTAINMENT LIMITED
00327,PAX GLOBAL TECHNOLOGY LIMITED
00328,ALCO HOLDINGS LIMITED
00329,OCI INTERNATIONAL HOLDINGS LIMITED
00330,ESPRIT HOLDINGS LIMITED
